Charmrun> scalable start enabled. 
Charmrun> started all node programs in 0.008 seconds.
Charm++> Running in non-SMP mode: numPes 10
Converse/Charm++ Commit ID: v6.7.0-503-g4facdc6f2
Charm++> scheduler running in netpoll mode.
CharmLB> Load balancer assumes all CPUs are same.
Charm++> Running on 1 unique compute nodes (8-way SMP).
Charm++> cpu topology info is gathered in 0.010 seconds.
[Main] Library array created and proxy obtained
10 has 1 buffer msgs
[Main] Inverted trees constructed. Notify library to perform components detection
[Main] Components identified, prune unecessary ones now
[tp0] myVertices[58] - vertexID: 59, parent: 64, component: 134
[tp0] myVertices[59] - vertexID: 60, parent: 59, component: 134
[tp0] myVertices[60] - vertexID: 61, parent: 65, component: 134
[tp0] myVertices[61] - vertexID: 62, parent: 63, component: 134
[tp0] myVertices[62] - vertexID: 63, parent: 66, component: 134
[tp0] myVertices[63] - vertexID: 64, parent: 61, component: 134
[tp0] myVertices[64] - vertexID: 65, parent: 62, component: 134
[tp0] myVertices[65] - vertexID: 66, parent: 68, component: 134
[tp0] myVertices[66] - vertexID: 67, parent: 72, component: 134
[tp0] myVertices[67] - vertexID: 68, parent: 67, component: 134
[tp3] myVertices[60] - vertexID: 1783, parent: 1788, component: 1804
[tp3] myVertices[61] - vertexID: 1784, parent: 1789, component: 1804
[tp3] myVertices[62] - vertexID: 1785, parent: 1790, component: 1804
[tp3] myVertices[63] - vertexID: 1786, parent: 1799, component: 1804
[tp3] myVertices[64] - vertexID: 1787, parent: 1783, component: 1804
[tp3] myVertices[65] - vertexID: 1788, parent: 1784, component: 1804
[tp3] myVertices[66] - vertexID: 1789, parent: 1791, component: 1804
[tp3] myVertices[67] - vertexID: 1790, parent: 1798, component: 1804
[tp3] myVertices[68] - vertexID: 1791, parent: 1785, component: 1804
[tp3] myVertices[69] - vertexID: 1792, parent: 1786, component: 1804
[tp4] myVertices[60] - vertexID: 2357, parent: -1, component: -1
[tp4] myVertices[61] - vertexID: 2358, parent: -1, component: -1
[tp4] myVertices[62] - vertexID: 2359, parent: -1, component: -1
[tp4] myVertices[63] - vertexID: 2360, parent: -1, component: -1
[tp4] myVertices[64] - vertexID: 2361, parent: -1, component: -1
[tp4] myVertices[65] - vertexID: 2362, parent: -1, component: -1
[tp4] myVertices[66] - vertexID: 2363, parent: -1, component: -1
[tp4] myVertices[67] - vertexID: 2364, parent: -1, component: -1
[tp4] myVertices[68] - vertexID: 2365, parent: -1, component: -1
[tp4] myVertices[69] - vertexID: 2366, parent: -1, component: -1
[tp0] myVertices[68] - vertexID: 69, parent: 73, component: 134
[tp0] myVertices[69] - vertexID: 70, parent: 74, component: 134
[tp0] myVertices[70] - vertexID: 71, parent: 75, component: 134
[tp0] myVertices[71] - vertexID: 72, parent: 69, component: 134
[tp0] myVertices[72] - vertexID: 73, parent: 70, component: 134
[tp0] myVertices[73] - vertexID: 74, parent: 76, component: 134
[tp0] myVertices[74] - vertexID: 75, parent: 80, component: 134
[tp0] myVertices[75] - vertexID: 76, parent: 71, component: 134
[tp0] myVertices[76] - vertexID: 77, parent: 81, component: 134
[tp0] myVertices[77] - vertexID: 78, parent: 79, component: 134
[tp3] myVertices[70] - vertexID: 1793, parent: 1794, component: 1804
[tp3] myVertices[71] - vertexID: 1794, parent: 1800, component: 1804
[tp3] myVertices[72] - vertexID: 1795, parent: 1796, component: 1804
[tp3] myVertices[73] - vertexID: 1796, parent: 1801, component: 1804
[tp3] myVertices[74] - vertexID: 1797, parent: 1807, component: 1804
[tp3] myVertices[75] - vertexID: 1798, parent: 1792, component: 1804
[tp3] myVertices[76] - vertexID: 1799, parent: 1793, component: 1804
[tp3] myVertices[77] - vertexID: 1800, parent: 1802, component: 1804
[tp3] myVertices[78] - vertexID: 1801, parent: 1806, component: 1804
[tp3] myVertices[79] - vertexID: 1802, parent: 1795, component: 1804
[tp4] myVertices[70] - vertexID: 2367, parent: -1, component: -1
[tp4] myVertices[71] - vertexID: 2368, parent: -1, component: -1
[tp4] myVertices[72] - vertexID: 2369, parent: -1, component: -1
[tp4] myVertices[73] - vertexID: 2370, parent: -1, component: -1
[tp4] myVertices[74] - vertexID: 2371, parent: -1, component: -1
[tp4] myVertices[75] - vertexID: 2372, parent: -1, component: -1
[tp4] myVertices[76] - vertexID: 2373, parent: -1, component: -1
[tp4] myVertices[77] - vertexID: 2374, parent: -1, component: -1
[tp4] myVertices[78] - vertexID: 2375, parent: -1, component: -1
[tp4] myVertices[79] - vertexID: 2376, parent: -1, component: -1
[tp0] myVertices[78] - vertexID: 79, parent: 82, component: 134
[tp0] myVertices[79] - vertexID: 80, parent: 77, component: 134
[tp0] myVertices[80] - vertexID: 81, parent: 78, component: 134
[tp0] myVertices[81] - vertexID: 82, parent: 84, component: 134
[tp0] myVertices[82] - vertexID: 83, parent: 87, component: 134
[tp0] myVertices[83] - vertexID: 84, parent: 83, component: 134
[tp0] myVertices[84] - vertexID: 85, parent: 86, component: 134
[tp0] myVertices[85] - vertexID: 86, parent: 88, component: 134
[tp0] myVertices[86] - vertexID: 87, parent: 85, component: 134
[tp0] myVertices[87] - vertexID: 88, parent: 89, component: 134
[tp3] myVertices[80] - vertexID: 1803, parent: 1797, component: 1804
[tp3] myVertices[81] - vertexID: 1804, parent: -1, component: 1804
[tp3] myVertices[82] - vertexID: 1805, parent: -1, component: -1
[tp3] myVertices[83] - vertexID: 1806, parent: 1803, component: 1804
[tp3] myVertices[84] - vertexID: 1807, parent: 1804, component: 1804
[tp3] myVertices[85] - vertexID: 1808, parent: -1, component: -1
[tp3] myVertices[86] - vertexID: 1809, parent: -1, component: -1
[tp3] myVertices[87] - vertexID: 1810, parent: -1, component: -1
[tp3] myVertices[88] - vertexID: 1811, parent: -1, component: -1
